Comment,Author,AuthorChannelId,LikeCount
Yg bilang2 mangkrak itu gerbong 16% sm prof2 yg kgk dpt job d pemerintahan..cb kalo dpt job pasti anteng dehhhhh 😂,@jokopurwanto5591,UCLIhZ9d4dbCOY_0CDwTpYEg,0
Ini yg biasa bilang mangkra mafia,@gatotmarimin5999,UCpAU2N_SldU-OPmAz7_YJjQ,0
💪💪💪🤲🤲🤲🇮🇩🇮🇩🇮🇩,@ayihayati6622,UCRb5FWQDsdovX8BDB7iPoBQ,0
Mantap,@MastorMastor-e6w,UCaxq09bCFKVnOQWBnr7jegg,0
"kulo remen tingkah lakune,,, lossss pokoke.

sehat selalu, terus buat konten yang losss lagi.",@kandaprasetya,UCotwZkKiebil6BHVSxM1QKA,0
Burung nya sampai hitam karena melindungi para koruptor,@syaifulbahri9601,UCTfTov8VUrK6yJ93h1qpjRw,0
"Para pejabat enggan berkantor di IKN mungkin tidak ada hiburan nya kk, sebenarnya bagus segera ibu kota pindah,pak Prabowo Subianto segera pindah kan ibukota",@Santrimbeling811,UCL6AlIbMmjyin4TRcEcdsKw,0
"gk isok ko makan soto harus pakai kecap, awakmu kok bisa anti kecap itu kenapa mentang2 putih ngono ta",@natatama,UC5yev3hG5eMQPf0b_xWVI3A,0
Sungguh sangat luar biasa yahh ternyata ikn NKRI 🇲🇨,@EndangKurnia-gu2yb,UCWnA2_6qeFqGcNDAU9f4Uxw,0
Penjajahan piring nasi lapangan kerja rumah nya di luar pulau ladang nya di kalimantan,@rudikenzienn,UCxFuYzTGgHiukAItK63rHBQ,0
Kalau IKN tdk secara bertahap para pegawai dan instansi di pindahkan dari JKT ke ikn ya jadi rumah makhluk lain...,@kasmiran8491,UCIlLI39fOmexYpNbjyMx8nA,0
"Elu kesananya saat liburan bung, jangan suka nyinyir klu belum bisa memberikan apa apa kepada negara, ngomong gampang lihat prosesnya dan itu proyek jangka panjang",@dennyhamdani25,UCSbnYluK87J8W9C5w5L2G2Q,0
Awas ojok dodolan soto ayam.. Lo Ono Swiss inn kyk onok Ng Tunjungan,@schwonobrsma-l1u,UCDybARYGRxIAydcFVlyK9qA,0
KALO SAMOAI INI JADI LANCAR...ORANG TANG SAIKIT  MALUNYA GAK KETULUNGAN...MAKANYA SELALU KOMENTAR YANG GAK GAK..,@cahangon8938,UClq6Q1Cri96jto1fQiwr78A,0
Anak wAbah semakin nelongssooohhh..,@DJOE_TOKDJOE,UCqbaiayutTvrURjEyqFA4rA,0
Bikin jln yg lebar kyk di dubai jgn nanggung,@Mrajarios,UCD0xHE2R-5ZBHmdS70MO9hA,0
"Bang IKN gmna kabar?
Tolong sidak lagi bang🙏😂",@fhadil313,UCkXZo9hTxN8p98jV2Fyh1Sw,0
#LoremIpsum Dolor Amet ni kan??🦟,@fatrass2959,UCLzKcRW93g1pVuA70E4AEvA,0
Mulut rocky gorong yang mangrak😅😅😅,@EzaIsmail-n9y,UCWGBmn1-RhaMYqrhQsZSgbA,1
Tolong bang bang Roy Gerung diajak dong 😂😂😂😂,@sigitmarlan6313,UCA0N3O1s3hbU6WcV0xABELg,0
Waaaaooouuuw keren ikn ada hotel 35.000.000 sehari ...waowww semoga cristiano tonaldo atau messi bisa nginap disini...ayo semangat ikn dng para pekerjanya semoga cepat selesai .....aaaamiiiin,@bambangWdd,UC_55_fYgQ-jeH2Lsgn8TLUQ,0
Taek aak kresek,@hermantoherman6869,UCJoZl6ypBQlmaKb4IxcvEOw,0
"Klo ikn mangkrak itu suatu kerugian besar buat negara,,,,😅 orang yg mengharapkan mangkrak brti ingin indonesia rugi.....",@bayuratewo,UCIor8a7oPZn8XGGl26e_W-g,0
"Rakyat Miskin Membangunkan Istana Untuk Pejabat dan ASN Dzolim laknatullah , sedangkan mereka para Pejabat sama sekali tidak memikirkan Rakyatnya banyak yg Miskin ,Banyak yg terlantar , Banyak Preman Ormas Pengganggu Masyarakat, dan masih banyak problem lainnya",@devskamvreet5150,UCjLWnhyQeFQte3QNR4bPROQ,1
Langitnya jernih sekali,@KurniatiDimyati-n3b,UC0kWn8FkNzgLCtwfSBnXGaw,0
Untung saya gak jadi gabung pembangunan disana.... Ngeri skrng,@yunan_bermainanak,UC4lw8FHlS-NvpHKwU0HJ1xg,0
bgun bukan duit negara.dana asing.,@Arafik-b4u,UCfdN2q5mUSNyTlV6f76Bgqg,0
Hutang bnyak...,@Arafik-b4u,UCfdN2q5mUSNyTlV6f76Bgqg,0
"Ada tetanggaku yg ngeklaim IKN proyek gagal. Kutanya, gagal gimana? Soalnya aku cek di sosmed & situs resmi IKN progress jalan terus kok. Terus dia bilang, ""buktinya di google maps ga keliatan apa2?"" 

Laaaaah. Langsung aku suruh cek ke situs resminya. Itu pembangunan bertahap. Tahun sekian sampai sekian apa2 aja yg dibangun dulu & semua progress ada yg update di yutub & ig. 

Masih ngotot, ""buktinya yg pelatihan kerja gratis itu ga ada kabar kelanjutan dari pak RT.""

Emang pak RT musti laporan programnya ke belio gitu?😅

Terlepas dari ngedukung siapa di politik, yg kuliat sejauh ini, sejauh ini ya, proyek IKN ini konsepnya bagus. Hijau, modern tapi sustainable krn ga boleh ada kendaraan bensin. Pesepeda bakal punya jalur khusus. Pembangkit listrik tenaga surya. Dan hanya 25% lahan yg digunakan untuk manusia. 75%nya akan dijaga sbg lahan hijau. Ini kalau sesuai konsep nantinya jadi percontohan buat kota2 lain di Indonesia, bahkan dunia. Aku sih doakan yg terbaik kalau memang konsepnya baik. Bukan soal idenya dari presiden yg mana.",@niabadb,UCsp1PjCL40PwcRCVrl1O-BA,0
Alhamdulillah nambah lagi candi baru di Indonesia,@amintaufik463,UCGM98pnjsHx4OIRSfwfeWwg,0
Ndasmu melok melok mas.... Ketok cwethuuuu 😂 peace kang,@ragatookcompilation,UCH2lGEBaRi02s4f_NogYcBw,0
Ini barukonten...edukasi yang baik....membungkam ..para pembenci .pk jokowi.....🙏,@mohmuftahin4709,UCG4zp-2qPTbwBRepkg6dfVQ,0
Ternak abah tahunya ikn masih hutan... Maklum kapasitas isi kepalanya terbatas.... 😊,@AdeJunaidiSTC-Group,UCPoAJ5jQvzbvugxv1LtY56Q,0
Ada apa dgn kecap manis sbnere??,@efatakenzhi,UC0Oc1uCTk_5xhIoOoCy4pbg,0
Kalau gk ada dana bilang dong... Tk pinjemmin...,@Redmi6agold-q7j,UChiocHT4y3hLBv8Y2bOE1jA,0
"Yok opo cak Andy Sugar , pancet ae gurih ketawa ne",@yudiprasetyo-bo3yj,UC72cHl298Gf6EsdZI5O1pJQ,0
👍👍👍👍👍,@femmyfebelestari5736,UCcgiWExU1zrz7tEHeuCk0MQ,0
Terima kasih bang...,@sarmianisa2850,UCRGp6ZgTStok4zYLdlASKcg,0
tp klo gak ada rumah  murah untuk warga gak akan maju,@nyuning,UCgXiuFYFBVDdFzjQ_OXJzYg,0
Semoga  rakyat yg di luarngri pada pulang dn sukses di negara sendiri,@reiniwijaya5081,UCZvd7dNCpyko_F-vrv2OybQ,0
Ini kalau selesai pasti kotanya viral soalx velocity bgt,@Sertin-c9s,UCnXWvKUlXrBKrLgGt104gLw,0
DWE ANAK LANANG YO BOSS KEMBAR..SPESIAL..( DATUK TAHIR..APA KABAR ..)..AYAHMU..BOSS..PY KABARE..BOLO BOLO..OOHP..,@samudraaudio285,UCC0mqsTPNwLN3TzyW83rwvw,1
AMIN RAIS STRES GK USAH DI URUS,@Ati-j8l,UC8N3guX5GSYFW7hLxARko4w,0
"Negara jagal kan orang2 nya seneng fitnah, adu domba, korupsi, serta terbelakang klo diajak maju mana mau!!! Mudah2 han cepat terbebas dari bangsa yg terpuruk akhlak dan pemikiranya🤣🤣🤣",@KurniaVivo-j2l8u,UCMlostTiBVzZv1NmQUBtAAg,0
jangan pakai kicap manis ya kalau makan soto🎉🎉🎉🎉😂😂😂,@julmanjumanaustralia4216,UC65T0dDnMdmK9wwYzRd-ApA,0
mantappppp Bosss andy🎉🎉🎉,@julmanjumanaustralia4216,UC65T0dDnMdmK9wwYzRd-ApA,0
"Rumah mentri mewah luar biasa, rakyat melarat luar binasa",@NyonkEllby,UCb4_0aH5-GCe3PGKQofagpQ,0
"ingin kerja disana saya bagian bangunan gak apa apa walaupun ketrampilan saya di otomotif,,kaya mana caranya ya.....",@bambanguye-w3l,UCRa7-VW8zIL91Uw2_Z4Sc2w,0
Saya mau lihat IKN,@drisoesanto5784,UCKxWHTfYPYgmwsvFaUoKlRQ,0
bangunan megah kayak gitu udah di fungsikan apa belum,@abiechanel3914,UCxsMRS8EU5sioLDRpihn1OQ,0
Keren pa.jokowi hasil krja.luar bias,@WawanOktomanjaya-i7m,UCi8FBHKtR3hwk87gzays3ew,0
Lain kali bahasa Indonesia aja Biar semua Orang mengerti,@Endefleken89,UC2m7kHIz8rg3eYWEFDMQ1fA,0
"Salam dari Yogyakarta untuk IKN, maraih ngiler",@wartonoqrpz,UCcaPvfWgjLj73eyWV2RO7jg,0
Truslh mas andy tebarkan fakta tuk matahkan fitnah dan hoax. Salam sukses mas andy,@zaikusan,UCSq6WOcAV_vU8RQlI6iWNuA,0
Keren,@zerostarB,UCLH91wRoClYzCUDXReKoAQA,1
"keren juga, sy org yg paling malas ngurusin politik, apalagi ikutan politik, gw cukup fokus ke bisnis probadi, kerja, kerja dan kerja.. 
tapi semoga kedepannya Indonesia makin maju",@Pletanseling,UCjTwCIIxLG1pwpXOgAlXA8Q,0
"Sumbu bg. andy.. Bukan Sumbo 😄🤭

Sumbu: Pusat atau poros",@indonesia57,UCaabFMY1tMHYBA4NAbTzlZA,0
Nyata IKN ❤❤,@RuriHamjah-d7n,UC4W1gBKUBqlizpylW-nhldQ,0
2:57 😂,@backtolife99,UC3H1qgT0TdpGEI83zYrSJ4g,0
IKN kok sepi banget !!!! sepertinya hanya akan jadi tempat wisata saja nih,@sarjiyono,UC_p7FD0rNHYCvk51x2MGgMg,0
"Sy berharap segera dibuat jalan kereta api cepat atar negara dari IKN,SABAH DAN BRUNAI",@DEDIHAMIDBASTAMAN,UCrajw5slBA5sopDAhk5FwPg,0
Ini bicara apa adanya ttang ikn.  Hebat buktinya.  Jelek bg mrk yg lamar kerjaan.....smangat terus boooooss..juosssss..,@murasakgt,UCWE9fY-kfMPZwg83hq704ZA,0
Wah mantap,@Karsono-s6f,UCQw0D56sgWo6NiOa0y4uaHw,0
Yo bener to c meter,@CandraPutraPangestu02,UC-74gO71A2fyPpr_IHVFZjw,0
mantap banget IKN sangat modern terus aku Liat gak ada kabel listrik bikin nyangkut leher😂.. aku doakan Indonesia semakin canggih semakin modern semua rakyat nya kaya raya dan menjadi panutan seluruh dunia 🤲🏻🤲🏻🤲🏻,@padlijhon,UC0E_a_9woFSM8Pi88rBPRig,0
Ini hanya orang buta yg bilang ikn mangkrak para sakit hati yg sekarang lihat ikn jadi sakit jiwa d kasih kebenaran gk percaya karna hatinya nya sudah kotor sll memuja iblis jd setan jilma manusia  gk pernah mau ngakui kehebatan Bpk jokowi dan bapak prabowo  kepanasan kelojakan hatinya mungkin gk pernah hidup tenang  dlm hidupnya hanya hobi sebar HOAX Fitnah dan cari kesalahan orang lain namanya manusia pemuja iblis grup orang sakit hati  Mojopahit hadir sll sehat Bpk jolowi Bpk prabowo masarakat sll ❤❤❤❤❤,@NadhiraZahra-m3c,UC77iSWlflscuNwxgtNT96Kw,0
"1,5 ribu orang dislike sudah dipastikan itu ternak anies 😂",@Auw99,UCVi5Lla1y4W7cbgIr3HBFOg,1
Ada pasar gak di situ????😅😅😅😅,@bambangdrmbambangdrm6817,UCYadZoZytQOUBFPiaBb_Ppw,0
Salam kenal ya 👍,@AntonBethon,UCttshuIdeKyTNLRMCWN0KcQ,0
😂😂😂Para tamunya mana y???terus para ASN nya mana y??sejak kapan IKN sdh beroperasi???pas kiamat mgkn😂😂😂,@kusdianto6531,UCKCFmX3EAaRbHRUpiV_EOfg,0
😂😂😅 kok hitam si mas hijau bukan hitam,@IrwanSyahreja,UC5cuhrnSP_rrzyOpCo8L8gQ,0
"Harusnya video ini yg d tonton oleh barisan sakit hati pembenci pak jokowi dan pak prabowo.... Di komennya pasti bilang pemerintahan gagal banyak hutang, ikn mangkrang.  Tonton ini ya wahai barisan sakit hati😊",@riancandradewi2636,UCojZwmbI-uI8O4eHW76cImA,0
Makan soto tanpa kecap rasanya hampa😋,@nahginibro,UCsXAkIlYBqxzdvmww_2UJrQ,0
"Semua untuk penjabat,udah selesai dah gak mikirin rakyat dan jalan"" di pedesaan yang masih belum bagus juga,makah bangun kaya gini ,utang lagi 😂",@arjunsaksana1347,UCMQ95xWIwhylQY0ry9xGrJQ,0
@mastama16,@Zamanzaman-f4u,UCkj_tUH7EqO3D22bKTpGctA,0
Gini lo mas udah habis buanyak............. Klau gk dilanjutkan ya rugi lha wong sekelas bumn aja pada bilang rugi dan dari salah satu sembilan naga aja bilang tidak infestasi....?,@MasAnto-001,UCQ7Q5JOOsAzpbDswVcngg2A,0
"Yang bilang IKN Mangkrak  sinii siniiii datangi Kami di KUKAR  .Siniii Tak antar Jln2 ke IKN biar Lihat sendiri ,    ,, Heran Deh Yg diLuar Pulau KALTIM pada Ngata2in MANGKRAK2 ..... Pdahal kami disini Ngetawain Kalian sambil Menatap bgitu megahnya IKN",@haurkuning4480,UCr2qNVAYong6BmQ27Swb3vQ,0
dpr bubar jgan dibangun gudang para korup itu,@sarahayu-gc8sj,UCts5tmuyLO4PrmXM_xxf-tA,0
kalau ikn ke depan bener2 mangkrak anda jg harus bertanggung jawab karena menginformasikan seperti di video ini,@syarifahazzahra12,UCo9LmGUosESDFQA2EDOfjww,0
"Tak banyak bicara, yang penting kerja nyata dan fakta  nyata 👍👍",@abtaabisansoya8638,UCvU5IfIeqP6U8lTMiobzPww,0
"Makasih mas andi, jadi tau ikn.
Itu uangku sama rakyat se indonesia yg biayain",@Agam_Officiall,UCFyVtxIgmPrh3frPJV38gXA,0
"Kenapa Hitam?? 

Karna di Cet",@khairulanwarharahap2936,UCByOGqViZvjFL5yf095LjNA,0
Akhh T*I,@rajushal2108,UClwWdO65VbI4swlN4J779SA,0
Aku pengen ke IKN Cak...!,@AbdulJafar81,UClG9X5YOgjTjJQflpNOf2vw,0
"Yang ngantornya juga anak monyet, kalau manusia belum siap..sebab sarana prasarana lainnya belum tersedia ...nangkrak",@UusKuswandana,UCH9yrFZH3a0v0yrRP8L-6Mg,0
Chindo cukong,@andrewuzumaki7580,UC_tC_r8BRA00Srbbhkwy25g,0
Tai,@andrewuzumaki7580,UC_tC_r8BRA00Srbbhkwy25g,0
"Yang bilang mngkrak, tidak mengerti.",@fadlanabdullah8807,UCIn0L0_nKfW64PgY5m3O01g,0
Info lahan gawe mbukak soto tanpa kecap cak seng bongkar pasang ae cak menyesuaikan baget😆😆😆😆😆😆😆😆😆,@GhaisaniSandias,UCb1qvaQ6rtBdZ_fp8iiaSYQ,0
cukong jokowi,@ridhohadi7927,UC3OvH4KYNVbltL4Nu6iPzcQ,0
"Dapat bayaran berapa bang awokawok 
Udah banyak konten kreator mau di bayar kagak mau tuh tapi situ??? Ups wkwkwkwk",@Mencerdaskan_bangsa62,UCj-1TrnKbl7AmjQlTGtoxtg,0
Orang yang pembenci jokwi tu iri jg mungkin tuk menguasai aset aset NKRI,@RandyAfrizl,UCYRUxZT4FyqxbhF1RaNnPvQ,0
Kerjanya bpk presiden Jokowi tu nyta,@RandyAfrizl,UCYRUxZT4FyqxbhF1RaNnPvQ,0
begitu megah nya ikn,@mimidoremi-fx6uv,UCCcWef3DYLwm02sQh9okvQg,0
👍👍👍👍👍🫰,@DarminAbdSalam,UC434f0k-puSTiY1kyiwRIng,0
"Dua Golongan yang membenci atas tanda kemajuan bangsa dan gemar mencaci maki

1. Golongan eks Ormas FPI dkk (maklum karena mindset imigran)
2. Golongan soehartoisme

Dua golongan tersebut selalu bikin Polemik dan huruhara pada bangsa kita.",@BakiyakJati,UCPpdfghY4y61_EXTLAcOoXg,0
"bahasane pass,,",@s-projectguyonanjowo4547,UC4_zCiowmjehAINq9sVCg8g,0
Mantaaf❤❤❤,@AniSulasih-f1r,UCtCk0XxLvvr187v5gX8CWbA,0
Ayo kalau ada kerjaan bang saya siap otw dari malang bang butuh kerja ini,@AwalBerkah-j9p,UCY4tFIhLlearrqFlStecflg,0
Uang rakyat,@rctngoteng7407,UCktym4tONy-1T8FcMHb4RHQ,0
"Manteb NKRI ,Kebanggaan bangsa .
Selamat bpk jokowidodo ,beliau adalah patriot bangsa sejati.jayalah negriku ,majulah bangsaku Indonesia jaya ,menuju Indonesia emas.",@sardjisardji4724,UCCkrk29e8QoKPKxBmaTSDbQ,0
Itu bukannya Hambalang ya?,@alimashuri9336,UCBh-OhDBN4G-SZsmZi7iQgg,0
Apakh ini gratis untuk seluruh lapisan masyarakat nusantara...atau ada larangan untk golongan sja.😮,@Oscarlindilaku,UCHHbZEfRxOYtBHgDS6UYTMQ,0
IKN FROM MALAYSIA,@LIGAINDONESIANEWS,UC0fFHciJvZf_o_LkHPBm_jg,0
YG PENTING CHANEL NYA   GAK KOMPOR  GOZONKK👈👈🔥🔥🔥,@turahbc5767,UCAzD_6sy15lG6H8kwm3PboA,0
Ladang buat korupsi 😂😅,@riorozali-yh5qc,UC5eNIXEO3jP_3DJVhj8SC6w,0
Wiuh kandang koruptor smua tu,@wayanradji1605,UClIS2tCpwZwO_Utj2bUB4lA,0
Anda harusnya Pakai Asisten Camera bukan pakai Shoot pakai camera Shelfi buat pusing dan kurang elit. Sory ya mass saya pendukung anda dr Kediri kota,@yudianyudian7606,UCfujkd0eMlPrDSrhn-PB1Lg,0
di bayar piro samen pak,@ahmadsaubari6929,UCctKxo7G-XXAx9Xl30p42Ww,0
Bbrp bangunan memang ada yg sdh selesai  tetapi coba amati video diatas.....pryk 2 yg om progrwss...sepi pekerja dan Tower Crane tidak ada gerakan alias tidak muter....😂😂😂ada ada saja kalau konten...,@kokokbagio,UCFnPemahOJMkWyhywX0bwVA,0
"mantab
ikn
gas
terus
boz",@SutiayanIjan,UC6bLOLdwbkifKUqvAM-E6uA,0
👃👍👍👍👍👍✌️,@SutiayanIjan,UC6bLOLdwbkifKUqvAM-E6uA,0
Terharu. Semoga terwujud impian rakyat Indonesia menjadi lebih maju,@PebriKunodhewe,UClHyZvjpg3IUU3-9gJdyi1w,0
𝐌𝐀𝐍𝐆𝐊𝐑𝐀𝐊𝐊 𝐁𝐎𝐒𝐒𝐒. ... 𝐃𝐔𝐈𝐓𝐄𝐄𝐍𝐓𝐄𝐊𝐊𝐊,@herukurniawan1659,UCAz4D6uTUEt0xn_ydRf_Ceg,0
"Tak subscreb bolo..
Lanjutkan..",@vanoeza5158,UC4fWwFdeJbrLIu9Qz6LclCg,0
Apa presiden ke 7 bisa punya saham di sana?,@nico_arc0967,UCvQzIt_-0BM02Guu4wzCcwA,0
Ini akun kedua saya buat subscribe ...biar bisa liat ndasnya masnya.,@HanifSidiq-j2v,UCoKjRPfARzWP6YZeLuF32Wg,0
"- Hanya Kasih liat ruang display
- karyawan2 ASN ( ntah menjabat spt apa, dan punya kuasa apa aza , Jangan2 bertugas sbg pengurus aza fungsinya )
- Pejabat terkait dan penting ... tidak ada yang tugas
- Estimasi pembangunan jadi ... NIHIL , dan tidak bisa diprediksi

Orang yang bekerja , tidak sesuai kapasitas pembangunan ... ini boleh dikatakan semi mangkrak, 
bila emang serius, harus ada estimasi, pekerja yang super banyak, kerja 24 jam dan Uang pembangunan siap.
Bila cuma omon2, dan tidak ada kepastian kapan kelarnya, ini sama aza dengan keadaan ke arah mangkak, dimana terlalu banyak ketidakpastian.

Lucu juga, cuma dikasih liat, kerja yang secuil, karyawan yang seuprit, dan dinyatakan ... TIDAK MANGKRAK !!  

Ibarat kata ....
Bila pembangunan IKN, butuh 10.000 pekerja, tapi ini hanya ada 100 pekerja aza dan kerjanya tidak 24 jam. 
Bayangkan bila 100 pekerja mengerjakan project besar seperti ini ... KAPAN KELARNYA ???  Hidup segan , matipun tak mau, kalo ibarat bahasanya, IMHO",@RobotTrading-th4gb,UCSkvdOmYtKtVIJO4WhDa8fQ,0
Mogah cepat selesai,@Nikmahh04,UCR9k09EwEUUJn0sfu_qi5HA,0
Cuma sandiwara aja. Utk melindung jokowi. Negara sudah tidak ada duitnya.  Liat aja nanti.,@GatoLoco-z6e,UCrkAbp5jl8Cju7txb4qr9nQ,0
👍🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩💪💪💪💪💪💪💪❤❤❤❤🌹🌹🌹🌹🌹🌹,@NorSaid-n7i,UCDE82FLzCkiHesrVtzsd0og,0
"Dan saya kembali bertanya pada diri ku, pasca bnyak yg omon omon ikn mangkrak, dulu Indonesia ini bangun jakarta jadi ibu kota negara emang bisa langsung jdi ya, apa hnya butuh 1 tahun",@sonsung4260,UClpJINMZLb1O-Sf74VSL-TA,0
Mangkrak itu Hambalang..😂😂😂😝🧐,@dodisetiadi3747,UCMnXYlUaCv0_jNNeJBjobmQ,0
Hebat bisa bikin konten di IKN makasih jadi bisa ikutan lihat suasana IKN jadi pengen kesana...,@srisukarni4760,UCjuR0BDYRUub2VctxCgxgVg,0
"IKN untuk rakyat❌

IKN untuk pengusaha ✅",@rohmadinadi,UCkNt1TA-MGq7wbpqDEUEwzA,0
"Bahagia banget dan bangga banget klian ,boleh titip pesan kami kuli pembangunan ikn tolong di perlancar masalah keuangannya ko rudet mulu  ,yaaaa supaya gak kontras dgn kebahagiaan dan kebanggaan anda,terus mana komen dari saudara 2ku dari kalimantan,sebagai pribumi di kalimantan terkait dngn ikn",@PactrickStar-k2s,UCelZXCI2K3VCRQ5n6LNwyZw,0
Yg pastinya Roki gerung dan Anis pasti kepanasan...merej bilNg ikn pasti mangkerk,@Ramlihadi-r8j,UCKTTGaWRD9pr2eLGoqUrGLg,0
"Seharusnya mas Andy Boleh masuk istana karena mensupport ikn untuk lebih optimis untuk memajukan infrastruktur Ikn , semangat mas Andy 🤩💪🎉🤩",@Griyaofam,UCVd4zJsOsgrarV8_KOqVV3Q,1
Drpd dianggurin mending dikontrakin ... 😢 ...,@srisurati1355,UCiVefPZPuSaZk0SOzYIlqmQ,0
Mudah2an suatu hari ditakdirkan ke IKN penasaran juga ingin kesana.,@nurachmat9506,UCHPLh6Fn4e-sdp8Nf2-Mzjw,0
Rocky gorong gorong kemana ini 😂😂😂😂,@AndiYudistira-m4d,UCKq9PF1J6oJkOJORAXmwDEQ,0
Jos mantap konten yutubnya mencerdaskan dan meluruskan narasi orang yg benci pak jokowi.yutubernya luguxdan lucu pol jos mantap.,@PurwantoKauman-j5r,UCkQy4Ex0G8ep9Vrw7nFYJ_A,0
Mantap,@afrisantiwidiana5161,UCCtPX_xFjqggmKQ7dE0FjZw,0
"Wow, jadi pengen ke IKN! Semoga besok bisa dapat undangan ke IKN😊",@septalibransyah,UCkSaI1zR8bqqi_tnZr9YUTA,0
"Yang BILANG MANGKRAK ke situ juga belom...
TAU INFO JUGA PALING DARI BERITA HOAX....😁🤣😂🤭",@martitotito9324,UCFKFF_NAcH1efaH7D3KGxsg,0
"Terimakasih sdh memberikan info di IKN, sehat selalu ya bang jangan minum kecap manis ya bang 😅🤭🙏🙏🙏",@PesonaAnakBorneo,UCuVMUJvd963Qqob03GT539A,0
Hotelnya untuk orang petinggi soalnya VIP lengkap mirip apartemen keren 35jt perhari,@StevenJack-e7e,UCL2l_hmM2ye8QMFkugvFSLQ,0
ok,@IrsyadMaulanazain,UC3_m0yfQeUce688KxjAqwOA,0
Semoga nantik aku bisa ke ikn salam dari riau,@ruziantoproject08,UCXn_mr2FoBQjp73md5fLVMA,0
"Kok gak mampir ko,,",@ngawurofficial7583,UCnfsVbQGAIyP2Y5MqGRKxzg,0
"Suamiku kerja proyek di ikn
Ikut wika gedung bangun kantor kementerian pupr
Memang selama bulan puasa kmren stop kerjanya karena kata suamiku dana dr pemerintahan blm turun full dan semua pekerja bertahap dipulangkan
Ini hbis lebaran baru beberapa aja yg berangkat blm semua termasuk suamiku blm berangkat jg karena harga tiket msh mahal ktnya",@asridina4843,UCeTau2uDGOxJdclGpd5Ah_A,0
Walah anti kecap manise orak ketinggalan meneh😂,@WinandraSaputra,UCh9dIqKITM3d7vSRMibfuJg,0
Wowowoww ayo IKN Kerenn! gak mungkin 'mangkrak' lah. Ini semua masih terlaksana guys pembangunannya cuma dalam proses nya memang jarang yang bahas.. diem diem pasti udah kelar. IKN itu akan jadi kebanggaan nusantara (Indonesia) kelak. Terimakasih juga buat kakaknya yang udah datang dan review untuk kita..❤,@LiveinJakarta,UC1PXQBVxH0MrE4AxNr_ciqA,1
"pantesan pada berlomba2 kerja di pemerintah,     rumah di kasih,, gaji mahal,  korupsi ??

   mau berlomba2 smpe ngasih duit pas pemilihan jd wajar aja, mau laporin ke siapa??
  semua udh dapet jatah

harusnya DPR2  itu kan merasakan apa yg rakyat rasakan
 bukan malah apa yg mereka inginkan rakyat yg harus merasakan..",@cabir526,UCOT6wFgcGdnB7kcFpmdKycQ,0
Berjayalah negriku semoga kita sebagai rakyat diberi berkah❤❤❤,@DomdomIndra,UCxLpTV-zl2YjBEbRPZxhZ2g,0
"Mantap... Semoga segera pindah ibukota negara secara resmi... Trims info tour nya, Bang... Salam dari bumi sriwijaya, Musi Banyuasin",@pohaci.nagara.putih71,UCvcxzTTrKXK7SmN8xKhxpcg,0
