Comment,Author,AuthorChannelId,LikeCount,Sentiment,Comment_Preprocessed
Yang membenci biarlah tetap membenci.! Yang mendukung tetap konsisten mendukung agar kedua nya seimbang. Majuu terus Ibu kota Nusantara ku. ❤,@gandagenmen6285,UCb4oIqIMfZQo6dzzrZi_VEQ,0,negatif,benci biar benci dukung konsisten dukung nya imbang majuu kota nusantara ku
Saya jamin sepuluh tahun kedepan IKN akan terbang .sebagai sentralnya indonesia.pembangunan indonesia dari propinsi satu kepropinsi lainnya .indonesia begara besar dan banyak pulau  banyak propinsi bukan begara satu propinsi inilah insonesia surgabya dunia.,@PrasetiyoBudi-g4g,UCnbB4Hhs153i93bbgBUrpUA,0,negatif,jamin puluh depan ikn terbang sentral indonesiapembangunan indonesia propinsi propinsi indonesia begara pulau propinsi begara propinsi insonesia surgabya dunia
Yg bilang2 mangkrak itu gerbong 16% sm prof2 yg kgk dpt job d pemerintahan..cb kalo dpt job pasti anteng dehhhhh 😂,@jokopurwanto5591,UCLIhZ9d4dbCOY_0CDwTpYEg,0,positif,bilang mangkrak gerbong sm prof kgk dpt job d pemerintahancb kalo dpt job anteng dehhhhh
Ini yg biasa bilang mangkra mafia,@gatotmarimin5999,UCpAU2N_SldU-OPmAz7_YJjQ,0,positif,bilang mangkra mafia
💪💪💪🤲🤲🤲🇮🇩🇮🇩🇮🇩,@ayihayati6622,UCRb5FWQDsdovX8BDB7iPoBQ,0,negatif,
Mantap,@MastorMastor-e6w,UCaxq09bCFKVnOQWBnr7jegg,0,negatif,mantap
"kulo remen tingkah lakune,,, lossss pokoke.

sehat selalu, terus buat konten yang losss lagi.",@kandaprasetya,UCotwZkKiebil6BHVSxM1QKA,0,positif,kulo remen tingkah lakune lossss pokoke sehat konten losss
Burung nya sampai hitam karena melindungi para koruptor,@syaifulbahri9601,UCTfTov8VUrK6yJ93h1qpjRw,0,positif,burung nya hitam lindung koruptor
"Para pejabat enggan berkantor di IKN mungkin tidak ada hiburan nya kk, sebenarnya bagus segera ibu kota pindah,pak Prabowo Subianto segera pindah kan ibukota",@Santrimbeling811,UCL6AlIbMmjyin4TRcEcdsKw,0,positif,jabat enggan kantor ikn hibur nya kk bagus kota pindahpak prabowo subianto pindah ibukota
"gk isok ko makan soto harus pakai kecap, awakmu kok bisa anti kecap itu kenapa mentang2 putih ngono ta",@natatama,UC5yev3hG5eMQPf0b_xWVI3A,0,positif,gk isok ko makan soto pakai kecap awak anti kecap mentang putih ngono ta
Sungguh sangat luar biasa yahh ternyata ikn NKRI 🇲🇨,@EndangKurnia-gu2yb,UCWnA2_6qeFqGcNDAU9f4Uxw,0,negatif,sungguh yahh ikn nkri
Penjajahan piring nasi lapangan kerja rumah nya di luar pulau ladang nya di kalimantan,@rudikenzienn,UCxFuYzTGgHiukAItK63rHBQ,0,netral,jajah piring nasi lapang kerja rumah nya pulau ladang nya kalimantan
Kalau IKN tdk secara bertahap para pegawai dan instansi di pindahkan dari JKT ke ikn ya jadi rumah makhluk lain...,@kasmiran8491,UCIlLI39fOmexYpNbjyMx8nA,0,positif,ikn tahap pegawai instansi pindah jkt ikn ya rumah makhluk
"Elu kesananya saat liburan bung, jangan suka nyinyir klu belum bisa memberikan apa apa kepada negara, ngomong gampang lihat prosesnya dan itu proyek jangka panjang",@dennyhamdani25,UCSbnYluK87J8W9C5w5L2G2Q,0,negatif,elu kesana libur suka nyinyir klu negara ngomong gampang lihat proses proyek jangka
Awas ojok dodolan soto ayam.. Lo Ono Swiss inn kyk onok Ng Tunjungan,@schwonobrsma-l1u,UCDybARYGRxIAydcFVlyK9qA,0,negatif,awas ojok dodol soto ayam lo ono swiss inn kyk onok ng tunjung
KALO SAMOAI INI JADI LANCAR...ORANG TANG SAIKIT  MALUNYA GAK KETULUNGAN...MAKANYA SELALU KOMENTAR YANG GAK GAK..,@cahangon8938,UClq6Q1Cri96jto1fQiwr78A,0,positif,kalo samoai lancarorang tang saikit malu ketulunganmakanya komentar
Anak wAbah semakin nelongssooohhh..,@DJOE_TOKDJOE,UCqbaiayutTvrURjEyqFA4rA,0,positif,anak wabah nelongssooohhh
Bikin jln yg lebar kyk di dubai jgn nanggung,@Mrajarios,UCD0xHE2R-5ZBHmdS70MO9hA,0,negatif,bikin jln lebar kyk dubai jgn nanggung
"Bang IKN gmna kabar?
Tolong sidak lagi bang🙏😂",@fhadil313,UCkXZo9hTxN8p98jV2Fyh1Sw,0,positif,bang ikn gmna kabar tolong sidak bang
#LoremIpsum Dolor Amet ni kan??🦟,@fatrass2959,UCLzKcRW93g1pVuA70E4AEvA,0,positif,loremipsum dolor amet ni
Mulut rocky gorong yang mangrak😅😅😅,@EzaIsmail-n9y,UCWGBmn1-RhaMYqrhQsZSgbA,1,positif,mulut rocky gorong mangrak
Tolong bang bang Roy Gerung diajak dong 😂😂😂😂,@sigitmarlan6313,UCA0N3O1s3hbU6WcV0xABELg,0,positif,tolong bang bang roy gerung ajak
Waaaaooouuuw keren ikn ada hotel 35.000.000 sehari ...waowww semoga cristiano tonaldo atau messi bisa nginap disini...ayo semangat ikn dng para pekerjanya semoga cepat selesai .....aaaamiiiin,@bambangWdd,UC_55_fYgQ-jeH2Lsgn8TLUQ,0,negatif,waaaaooouuuw keren ikn hotel hari waowww moga cristiano tonaldo messi nginap disiniayo semangat ikn dng kerja moga cepat selesai aaaamiiiin
Taek aak kresek,@hermantoherman6869,UCJoZl6ypBQlmaKb4IxcvEOw,0,positif,taek aak kresek
"Klo ikn mangkrak itu suatu kerugian besar buat negara,,,,😅 orang yg mengharapkan mangkrak brti ingin indonesia rugi.....",@bayuratewo,UCIor8a7oPZn8XGGl26e_W-g,0,positif,klo ikn mangkrak rugi negara orang harap mangkrak brti indonesia rugi
"Rakyat Miskin Membangunkan Istana Untuk Pejabat dan ASN Dzolim laknatullah , sedangkan mereka para Pejabat sama sekali tidak memikirkan Rakyatnya banyak yg Miskin ,Banyak yg terlantar , Banyak Preman Ormas Pengganggu Masyarakat, dan masih banyak problem lainnya",@devskamvreet5150,UCjLWnhyQeFQte3QNR4bPROQ,1,positif,rakyat miskin bangun istana jabat asn dzolim laknatullah jabat pikir rakyat miskin lantar preman ormas ganggu masyarakat problem
Langitnya jernih sekali,@KurniatiDimyati-n3b,UC0kWn8FkNzgLCtwfSBnXGaw,0,negatif,langit jernih
Untung saya gak jadi gabung pembangunan disana.... Ngeri skrng,@yunan_bermainanak,UC4lw8FHlS-NvpHKwU0HJ1xg,0,positif,untung gabung bangun sana ngeri skrng
bgun bukan duit negara.dana asing.,@Arafik-b4u,UCfdN2q5mUSNyTlV6f76Bgqg,0,positif,bgun duit negaradana asing
Hutang bnyak...,@Arafik-b4u,UCfdN2q5mUSNyTlV6f76Bgqg,0,positif,hutang bnyak
"Ada tetanggaku yg ngeklaim IKN proyek gagal. Kutanya, gagal gimana? Soalnya aku cek di sosmed & situs resmi IKN progress jalan terus kok. Terus dia bilang, ""buktinya di google maps ga keliatan apa2?"" 

Laaaaah. Langsung aku suruh cek ke situs resminya. Itu pembangunan bertahap. Tahun sekian sampai sekian apa2 aja yg dibangun dulu & semua progress ada yg update di yutub & ig. 

Masih ngotot, ""buktinya yg pelatihan kerja gratis itu ga ada kabar kelanjutan dari pak RT.""

Emang pak RT musti laporan programnya ke belio gitu?😅

Terlepas dari ngedukung siapa di politik, yg kuliat sejauh ini, sejauh ini ya, proyek IKN ini konsepnya bagus. Hijau, modern tapi sustainable krn ga boleh ada kendaraan bensin. Pesepeda bakal punya jalur khusus. Pembangkit listrik tenaga surya. Dan hanya 25% lahan yg digunakan untuk manusia. 75%nya akan dijaga sbg lahan hijau. Ini kalau sesuai konsep nantinya jadi percontohan buat kota2 lain di Indonesia, bahkan dunia. Aku sih doakan yg terbaik kalau memang konsepnya baik. Bukan soal idenya dari presiden yg mana.",@niabadb,UCsp1PjCL40PwcRCVrl1O-BA,0,positif,tetangga ngeklaim ikn proyek gagal kuta gagal gimana cek sosmed situs resmi ikn progress jalan bilang bukti google maps liat laaaaah langsung suruh cek situs resmi bangun tahap sekian sekian aja bangun progress update yutub ig ngotot bukti latih kerja gratis kabar lanjut rt emang rt musti lapor program belio gitu lepas ngedukung politik liat ya proyek ikn konsep bagus hijau modern sustainable krn kendara bensin sepeda jalur khusus bangkit listrik tenaga surya lahan manusia nya jaga sbg lahan hijau sesuai konsep contoh kota indonesia dunia sih doa baik konsep ide presiden
Alhamdulillah nambah lagi candi baru di Indonesia,@amintaufik463,UCGM98pnjsHx4OIRSfwfeWwg,0,negatif,alhamdulillah nambah candi indonesia
Ndasmu melok melok mas.... Ketok cwethuuuu 😂 peace kang,@ragatookcompilation,UCH2lGEBaRi02s4f_NogYcBw,0,positif,ndasmu lok lok mas ketok cwethuuuu peace kang
Ini barukonten...edukasi yang baik....membungkam ..para pembenci .pk jokowi.....🙏,@mohmuftahin4709,UCG4zp-2qPTbwBRepkg6dfVQ,0,positif,barukontenedukasi baikmembungkam benci pk jokowi
Ternak abah tahunya ikn masih hutan... Maklum kapasitas isi kepalanya terbatas.... 😊,@AdeJunaidiSTC-Group,UCPoAJ5jQvzbvugxv1LtY56Q,0,positif,ternak abah tahu ikn hutan maklum kapasitas isi kepala batas
Ada apa dgn kecap manis sbnere??,@efatakenzhi,UC0Oc1uCTk_5xhIoOoCy4pbg,0,positif,dgn kecap manis sbnere
Kalau gk ada dana bilang dong... Tk pinjemmin...,@Redmi6agold-q7j,UChiocHT4y3hLBv8Y2bOE1jA,0,netral,gk dana bilang tk pinjemmin
"Yok opo cak Andy Sugar , pancet ae gurih ketawa ne",@yudiprasetyo-bo3yj,UC72cHl298Gf6EsdZI5O1pJQ,0,negatif,yok opo cak andy sugar pancet ae gurih ketawa ne
👍👍👍👍👍,@femmyfebelestari5736,UCcgiWExU1zrz7tEHeuCk0MQ,0,negatif,
Terima kasih bang...,@sarmianisa2850,UCRGp6ZgTStok4zYLdlASKcg,0,negatif,terima kasih bang
tp klo gak ada rumah  murah untuk warga gak akan maju,@nyuning,UCgXiuFYFBVDdFzjQ_OXJzYg,0,positif,tp klo rumah murah warga maju
Semoga  rakyat yg di luarngri pada pulang dn sukses di negara sendiri,@reiniwijaya5081,UCZvd7dNCpyko_F-vrv2OybQ,0,negatif,moga rakyat luarngri pulang dn sukses negara
Ini kalau selesai pasti kotanya viral soalx velocity bgt,@Sertin-c9s,UCnXWvKUlXrBKrLgGt104gLw,0,negatif,selesai kota viral soalx velocity bgt
DWE ANAK LANANG YO BOSS KEMBAR..SPESIAL..( DATUK TAHIR..APA KABAR ..)..AYAHMU..BOSS..PY KABARE..BOLO BOLO..OOHP..,@samudraaudio285,UCC0mqsTPNwLN3TzyW83rwvw,1,negatif,dwe anak lanang yo boss kembarspesial datuk tahirapa kabar ayahmubosspy kabarebolo bolooohp
AMIN RAIS STRES GK USAH DI URUS,@Ati-j8l,UC8N3guX5GSYFW7hLxARko4w,0,positif,amin rais stres gk urus
"Negara jagal kan orang2 nya seneng fitnah, adu domba, korupsi, serta terbelakang klo diajak maju mana mau!!! Mudah2 han cepat terbebas dari bangsa yg terpuruk akhlak dan pemikiranya🤣🤣🤣",@KurniaVivo-j2l8u,UCMlostTiBVzZv1NmQUBtAAg,0,positif,negara jagal orang nya neng fitnah adu domba korupsi belakang klo ajak maju mudah han cepat bebas bangsa puruk akhlak pemikiranya
jangan pakai kicap manis ya kalau makan soto🎉🎉🎉🎉😂😂😂,@julmanjumanaustralia4216,UC65T0dDnMdmK9wwYzRd-ApA,0,negatif,pakai kicap manis ya makan soto
mantappppp Bosss andy🎉🎉🎉,@julmanjumanaustralia4216,UC65T0dDnMdmK9wwYzRd-ApA,0,negatif,mantappppp bosss andy
"Rumah mentri mewah luar biasa, rakyat melarat luar binasa",@NyonkEllby,UCb4_0aH5-GCe3PGKQofagpQ,0,positif,rumah tri mewah rakyat melarat binasa
"ingin kerja disana saya bagian bangunan gak apa apa walaupun ketrampilan saya di otomotif,,kaya mana caranya ya.....",@bambanguye-w3l,UCRa7-VW8zIL91Uw2_Z4Sc2w,0,positif,kerja sana bangun ketrampilan otomotifkaya ya
Saya mau lihat IKN,@drisoesanto5784,UCKxWHTfYPYgmwsvFaUoKlRQ,0,netral,lihat ikn
bangunan megah kayak gitu udah di fungsikan apa belum,@abiechanel3914,UCxsMRS8EU5sioLDRpihn1OQ,0,positif,bangun megah kayak gitu udah fungsi
Keren pa.jokowi hasil krja.luar bias,@WawanOktomanjaya-i7m,UCi8FBHKtR3hwk87gzays3ew,0,negatif,keren pajokowi hasil krjaluar bias
Lain kali bahasa Indonesia aja Biar semua Orang mengerti,@Endefleken89,UC2m7kHIz8rg3eYWEFDMQ1fA,0,positif,kali bahasa indonesia aja biar orang erti
"Salam dari Yogyakarta untuk IKN, maraih ngiler",@wartonoqrpz,UCcaPvfWgjLj73eyWV2RO7jg,0,netral,salam yogyakarta ikn maraih ngiler
Truslh mas andy tebarkan fakta tuk matahkan fitnah dan hoax. Salam sukses mas andy,@zaikusan,UCSq6WOcAV_vU8RQlI6iWNuA,0,negatif,truslh mas andy tebar fakta tuk matahkan fitnah hoax salam sukses mas andy
Keren,@zerostarB,UCLH91wRoClYzCUDXReKoAQA,1,negatif,keren
"keren juga, sy org yg paling malas ngurusin politik, apalagi ikutan politik, gw cukup fokus ke bisnis probadi, kerja, kerja dan kerja.. 
tapi semoga kedepannya Indonesia makin maju",@Pletanseling,UCjTwCIIxLG1pwpXOgAlXA8Q,0,negatif,keren sy org malas ngurusin politik ikut politik gw fokus bisnis probadi kerja kerja kerja moga depan indonesia maju
"Sumbu bg. andy.. Bukan Sumbo 😄🤭

Sumbu: Pusat atau poros",@indonesia57,UCaabFMY1tMHYBA4NAbTzlZA,0,negatif,sumbu bg andy sumbo sumbu pusat poros
Nyata IKN ❤❤,@RuriHamjah-d7n,UC4W1gBKUBqlizpylW-nhldQ,0,negatif,nyata ikn
2:57 😂,@backtolife99,UC3H1qgT0TdpGEI83zYrSJ4g,0,negatif,
IKN kok sepi banget !!!! sepertinya hanya akan jadi tempat wisata saja nih,@sarjiyono,UC_p7FD0rNHYCvk51x2MGgMg,0,positif,ikn sepi banget wisata nih
"Sy berharap segera dibuat jalan kereta api cepat atar negara dari IKN,SABAH DAN BRUNAI",@DEDIHAMIDBASTAMAN,UCrajw5slBA5sopDAhk5FwPg,0,netral,sy harap jalan kereta api cepat atar negara iknsabah brunai
Ini bicara apa adanya ttang ikn.  Hebat buktinya.  Jelek bg mrk yg lamar kerjaan.....smangat terus boooooss..juosssss..,@murasakgt,UCWE9fY-kfMPZwg83hq704ZA,0,positif,bicara ttang ikn hebat bukti jelek bg mrk lamar kerjaansmangat booooossjuosssss
Wah mantap,@Karsono-s6f,UCQw0D56sgWo6NiOa0y4uaHw,0,negatif,mantap
Yo bener to c meter,@CandraPutraPangestu02,UC-74gO71A2fyPpr_IHVFZjw,0,netral,yo bener to c meter
mantap banget IKN sangat modern terus aku Liat gak ada kabel listrik bikin nyangkut leher😂.. aku doakan Indonesia semakin canggih semakin modern semua rakyat nya kaya raya dan menjadi panutan seluruh dunia 🤲🏻🤲🏻🤲🏻,@padlijhon,UC0E_a_9woFSM8Pi88rBPRig,0,negatif,mantap banget ikn modern liat kabel listrik bikin nyangkut leher doa indonesia canggih modern rakyat nya kaya raya panutan dunia
Ini hanya orang buta yg bilang ikn mangkrak para sakit hati yg sekarang lihat ikn jadi sakit jiwa d kasih kebenaran gk percaya karna hatinya nya sudah kotor sll memuja iblis jd setan jilma manusia  gk pernah mau ngakui kehebatan Bpk jokowi dan bapak prabowo  kepanasan kelojakan hatinya mungkin gk pernah hidup tenang  dlm hidupnya hanya hobi sebar HOAX Fitnah dan cari kesalahan orang lain namanya manusia pemuja iblis grup orang sakit hati  Mojopahit hadir sll sehat Bpk jolowi Bpk prabowo masarakat sll ❤❤❤❤❤,@NadhiraZahra-m3c,UC77iSWlflscuNwxgtNT96Kw,0,positif,orang buta bilang ikn mangkrak sakit hati lihat ikn sakit jiwa d kasih benar gk percaya karna hati nya kotor sll puja iblis jd setan jilma manusia gk ngakui hebat bpk jokowi prabowo panas kelojakan hati gk hidup tenang dlm hidup hobi sebar hoax fitnah cari salah orang nama manusia puja iblis grup orang sakit hati mojopahit hadir sll sehat bpk jolowi bpk prabowo masarakat sll
"1,5 ribu orang dislike sudah dipastikan itu ternak anies 😂",@Auw99,UCVi5Lla1y4W7cbgIr3HBFOg,1,positif,ribu orang dislike ternak anies
Ada pasar gak di situ????😅😅😅😅,@bambangdrmbambangdrm6817,UCYadZoZytQOUBFPiaBb_Ppw,0,positif,pasar situ
Salam kenal ya 👍,@AntonBethon,UCttshuIdeKyTNLRMCWN0KcQ,0,negatif,salam kenal ya
😂😂😂Para tamunya mana y???terus para ASN nya mana y??sejak kapan IKN sdh beroperasi???pas kiamat mgkn😂😂😂,@kusdianto6531,UCKCFmX3EAaRbHRUpiV_EOfg,0,positif,tamu yterus asn nya ysejak ikn sdh beroperasipas kiamat mgkn
😂😂😅 kok hitam si mas hijau bukan hitam,@IrwanSyahreja,UC5cuhrnSP_rrzyOpCo8L8gQ,0,positif,hitam si mas hijau hitam
"Harusnya video ini yg d tonton oleh barisan sakit hati pembenci pak jokowi dan pak prabowo.... Di komennya pasti bilang pemerintahan gagal banyak hutang, ikn mangkrang.  Tonton ini ya wahai barisan sakit hati😊",@riancandradewi2636,UCojZwmbI-uI8O4eHW76cImA,0,positif,video d tonton baris sakit hati benci jokowi prabowo komennya bilang perintah gagal hutang ikn mangkrang tonton ya baris sakit hati
Makan soto tanpa kecap rasanya hampa😋,@nahginibro,UCsXAkIlYBqxzdvmww_2UJrQ,0,negatif,makan soto kecap hampa
"Semua untuk penjabat,udah selesai dah gak mikirin rakyat dan jalan"" di pedesaan yang masih belum bagus juga,makah bangun kaya gini ,utang lagi 😂",@arjunsaksana1347,UCMQ95xWIwhylQY0ry9xGrJQ,0,positif,penjabatudah selesai dah mikirin rakyat jalan desa bagus jugamakah bangun kaya gin utang
@mastama16,@Zamanzaman-f4u,UCkj_tUH7EqO3D22bKTpGctA,0,netral,mastama
Gini lo mas udah habis buanyak............. Klau gk dilanjutkan ya rugi lha wong sekelas bumn aja pada bilang rugi dan dari salah satu sembilan naga aja bilang tidak infestasi....?,@MasAnto-001,UCQ7Q5JOOsAzpbDswVcngg2A,0,positif,gin lo mas udah habis buanyak klau gk lanjut ya rugi lha kelas bumn aja bilang rugi salah sembilan naga aja bilang infestasi
"Yang bilang IKN Mangkrak  sinii siniiii datangi Kami di KUKAR  .Siniii Tak antar Jln2 ke IKN biar Lihat sendiri ,    ,, Heran Deh Yg diLuar Pulau KALTIM pada Ngata2in MANGKRAK2 ..... Pdahal kami disini Ngetawain Kalian sambil Menatap bgitu megahnya IKN",@haurkuning4480,UCr2qNVAYong6BmQ27Swb3vQ,0,positif,bilang ikn mangkrak sini siniiii datang kukar siniii jln ikn biar lihat heran deh luar pulau kaltim ngatain mangkrak pdahal ngetawain tatap bgitu megah ikn
dpr bubar jgan dibangun gudang para korup itu,@sarahayu-gc8sj,UCts5tmuyLO4PrmXM_xxf-tA,0,positif,dpr bubar jgan bangun gudang korup
kalau ikn ke depan bener2 mangkrak anda jg harus bertanggung jawab karena menginformasikan seperti di video ini,@syarifahazzahra12,UCo9LmGUosESDFQA2EDOfjww,0,positif,ikn bener mangkrak jg tanggung informasi video
"Tak banyak bicara, yang penting kerja nyata dan fakta  nyata 👍👍",@abtaabisansoya8638,UCvU5IfIeqP6U8lTMiobzPww,0,negatif,bicara kerja nyata fakta nyata
"Makasih mas andi, jadi tau ikn.
Itu uangku sama rakyat se indonesia yg biayain",@Agam_Officiall,UCFyVtxIgmPrh3frPJV38gXA,0,negatif,makasih mas andi tau ikn uang rakyat indonesia biayain
"Kenapa Hitam?? 

Karna di Cet",@khairulanwarharahap2936,UCByOGqViZvjFL5yf095LjNA,0,positif,hitam karna cet
Akhh T*I,@rajushal2108,UClwWdO65VbI4swlN4J779SA,0,negatif,akhh ti
Aku pengen ke IKN Cak...!,@AbdulJafar81,UClG9X5YOgjTjJQflpNOf2vw,0,netral,ken ikn cak
"Yang ngantornya juga anak monyet, kalau manusia belum siap..sebab sarana prasarana lainnya belum tersedia ...nangkrak",@UusKuswandana,UCH9yrFZH3a0v0yrRP8L-6Mg,0,positif,ngantornya anak monyet manusia siapsebab sarana prasarana sedia nangkrak
Chindo cukong,@andrewuzumaki7580,UC_tC_r8BRA00Srbbhkwy25g,0,netral,chindo cukong
Tai,@andrewuzumaki7580,UC_tC_r8BRA00Srbbhkwy25g,0,negatif,tai
"Yang bilang mngkrak, tidak mengerti.",@fadlanabdullah8807,UCIn0L0_nKfW64PgY5m3O01g,0,positif,bilang mngkrak erti
Info lahan gawe mbukak soto tanpa kecap cak seng bongkar pasang ae cak menyesuaikan baget😆😆😆😆😆😆😆😆😆,@GhaisaniSandias,UCb1qvaQ6rtBdZ_fp8iiaSYQ,0,negatif,info lahan gawe mbukak soto kecap cak seng bongkar pasang ae cak sesuai baget
cukong jokowi,@ridhohadi7927,UC3OvH4KYNVbltL4Nu6iPzcQ,0,positif,cukong jokowi
"Dapat bayaran berapa bang awokawok 
Udah banyak konten kreator mau di bayar kagak mau tuh tapi situ??? Ups wkwkwkwk",@Mencerdaskan_bangsa62,UCj-1TrnKbl7AmjQlTGtoxtg,0,positif,bayar bang awokawok udah konten kreator bayar kagak tuh situ ups wkwkwkwk
Orang yang pembenci jokwi tu iri jg mungkin tuk menguasai aset aset NKRI,@RandyAfrizl,UCYRUxZT4FyqxbhF1RaNnPvQ,0,positif,orang benci jokwi tu iri jg tuk kuasa aset aset nkri
Kerjanya bpk presiden Jokowi tu nyta,@RandyAfrizl,UCYRUxZT4FyqxbhF1RaNnPvQ,0,negatif,kerja bpk presiden jokowi tu nyta
begitu megah nya ikn,@mimidoremi-fx6uv,UCCcWef3DYLwm02sQh9okvQg,0,negatif,megah nya ikn
👍👍👍👍👍🫰,@DarminAbdSalam,UC434f0k-puSTiY1kyiwRIng,0,negatif,
"Dua Golongan yang membenci atas tanda kemajuan bangsa dan gemar mencaci maki

1. Golongan eks Ormas FPI dkk (maklum karena mindset imigran)
2. Golongan soehartoisme

Dua golongan tersebut selalu bikin Polemik dan huruhara pada bangsa kita.",@BakiyakJati,UCPpdfghY4y61_EXTLAcOoXg,0,positif,golong benci tanda maju bangsa gemar caci maki golong eks ormas fpi dkk maklum mindset imigran golong soehartoisme golong bikin polemik huruhara bangsa
"bahasane pass,,",@s-projectguyonanjowo4547,UC4_zCiowmjehAINq9sVCg8g,0,negatif,bahasane pass
Mantaaf❤❤❤,@AniSulasih-f1r,UCtCk0XxLvvr187v5gX8CWbA,0,negatif,mantaaf
Ayo kalau ada kerjaan bang saya siap otw dari malang bang butuh kerja ini,@AwalBerkah-j9p,UCY4tFIhLlearrqFlStecflg,0,positif,ayo kerja bang otw malang bang butuh kerja
Uang rakyat,@rctngoteng7407,UCktym4tONy-1T8FcMHb4RHQ,0,negatif,uang rakyat
"Manteb NKRI ,Kebanggaan bangsa .
Selamat bpk jokowidodo ,beliau adalah patriot bangsa sejati.jayalah negriku ,majulah bangsaku Indonesia jaya ,menuju Indonesia emas.",@sardjisardji4724,UCCkrk29e8QoKPKxBmaTSDbQ,0,negatif,manteb nkri bangga bangsa selamat bpk jokowidodo beliau patriot bangsa sejatijayalah negriku maju bangsa indonesia jaya indonesia emas
Itu bukannya Hambalang ya?,@alimashuri9336,UCBh-OhDBN4G-SZsmZi7iQgg,0,positif,hambalang ya
Apakh ini gratis untuk seluruh lapisan masyarakat nusantara...atau ada larangan untk golongan sja.😮,@Oscarlindilaku,UCHHbZEfRxOYtBHgDS6UYTMQ,0,netral,apakh gratis lapis masyarakat nusantaraatau larang untk golong sja
IKN FROM MALAYSIA,@LIGAINDONESIANEWS,UC0fFHciJvZf_o_LkHPBm_jg,0,positif,ikn from malaysia
YG PENTING CHANEL NYA   GAK KOMPOR  GOZONKK👈👈🔥🔥🔥,@turahbc5767,UCAzD_6sy15lG6H8kwm3PboA,0,negatif,chanel nya kompor gozonkk
Ladang buat korupsi 😂😅,@riorozali-yh5qc,UC5eNIXEO3jP_3DJVhj8SC6w,0,positif,ladang korupsi
Wiuh kandang koruptor smua tu,@wayanradji1605,UClIS2tCpwZwO_Utj2bUB4lA,0,positif,wiuh kandang koruptor smua tu
Anda harusnya Pakai Asisten Camera bukan pakai Shoot pakai camera Shelfi buat pusing dan kurang elit. Sory ya mass saya pendukung anda dr Kediri kota,@yudianyudian7606,UCfujkd0eMlPrDSrhn-PB1Lg,0,positif,pakai asisten camera pakai shoot pakai camera shelfi pusing elit sory ya mass dukung dr diri kota
di bayar piro samen pak,@ahmadsaubari6929,UCctKxo7G-XXAx9Xl30p42Ww,0,netral,bayar piro samen
Bbrp bangunan memang ada yg sdh selesai  tetapi coba amati video diatas.....pryk 2 yg om progrwss...sepi pekerja dan Tower Crane tidak ada gerakan alias tidak muter....😂😂😂ada ada saja kalau konten...,@kokokbagio,UCFnPemahOJMkWyhywX0bwVA,0,positif,bbrp bangun sdh selesai coba amat video diataspryk om progrwsssepi kerja tower crane gera alias muterada konten
